genre_id,genre
1,Action
2,Adventure
3,Animation
4,Biography
5,Comedy
6,Crime
7,Drama
8,Family
9,Fantasy
10,Film-Noir
11,History
12,Horror
13,Music
14,Musical
15,Mystery
16,Romance
17,Sci-Fi
18,Thriller
19,War
20,Western
