Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
The Human Condition III: A Soldier's Prayer,1961,8.8,9100,"['Drama', 'History', 'War']",190,Masaki Kobayashi,"['Tatsuya Nakadai', 'Michiyo Aratama', 'Tamao Nakamura', 'Yûsuke Kawazu', 'Chishū Ryū', 'Taketoshi Naitō', 'Kyôko Kishida', 'Reiko Hitomi', 'Keijirô Morozumi', 'Kôji Kiyomura', 'Nobuo Kaneko', 'Fujio Suga', 'Tatsuya Ishiguro', 'Kazuo Kitamura', 'Toshio Takahara', 'Akira Yamanouchi', ""Hiroshi Nihon'yanagi"", 'Kôichi Hayashi']",https://www.imdb.com/title/tt0055233/
Spirited Away,2001,8.6,985000,"['Animation', 'Adventure', 'Family']",124,Hayao Miyazaki,"['Miyu Irino', 'Rumi Hiiragi', 'Mari Natsuki', 'Takashi Naitô', 'Yasuko Sawaguchi', 'Tatsuya Gashûin', 'Ryûnosuke Kamiki', 'Yumi Tamai', 'Yô Ôizumi', 'Koba Hayashi', 'Tsunehiko Kamijô', 'Takehiko Ono', 'Bunta Sugawara', 'Shigeru Wakita', 'Shirô Saitô', 'Michiko Yamamoto', 'Keiko Tsukamoto', 'Akio Nakamura']",https://www.imdb.com/title/tt0245429/
Grave of the Fireflies,1988,8.5,396000,"['Animation', 'Drama', 'War']",88,Isao Takahata,"['Tsutomu Tatsumi', 'Ayano Shiraishi', 'Akemi Yamaguchi', 'Yoshiko Shinohara', 'Kôzô Hashida', 'Masayo Sakai', 'Kazumi Nozaki', 'Yoshio Matsuoka', 'Masahiro Kanetake', 'Kiyoshi Yanagawa', 'Hajime Maki', 'Atsuo Omote', 'Teruhisa Harita', 'Hiroshi Tanaka', 'Michio Denpô', 'Shirô Tamaki', 'Tadashi Nakamura', 'Mika Sekita']",https://www.imdb.com/title/tt0095327/
Spider-Man: Across the Spider-Verse,2023,8.5,553000,"['Animation', 'Action', 'Adventure']",140,Joaquim Dos Santos,"['Shameik Moore', 'Hailee Steinfeld', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Oscar Isaac', 'Jason Schwartzman', 'Issa Rae', 'Daniel Kaluuya', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Mahershala Ali', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch']",https://www.imdb.com/title/tt9362722/
GoodFellas,1990,8.7,1400000,"['Biography', 'Crime', 'Drama']",145,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Frank Sivero', 'Tony Darrow', 'Mike Starr', 'Frank Vincent', 'Chuck Low', 'Frank DiLeo', 'Henny Youngman', 'Gina Mastrogiacomo', 'Catherine Scorsese', 'Charles Scorsese', 'Suzanne Shepherd', 'Debi Mazar', 'Margo Winkler']",https://www.imdb.com/title/tt0099685/
Your Name.,2016,8.4,405000,"['Animation', 'Drama', 'Fantasy']",106,Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryō Narita', 'Aoi Yûki', 'Nobunaga Shimazaki', 'Kaito Ishikawa', 'Kanon Tani', 'Masaki Terasoma', 'Sayaka Ôhara', 'Kazuhiko Inoue', 'Chafûrin', 'Yuka Kato', 'Kana Hanazawa', 'Yuka Terasaki', 'Takashi Onozuka', 'Yôhei Namekawa', 'Miyu Tsuji', ""Shin'ya Hamazoe""]",https://www.imdb.com/title/tt5311514/
Lemonade,2016,8.3,3800,"['Music', 'Musical']",65,Jonas Åkerlund,"['Beyoncé', 'Brittani Alexander', 'Jasmine Badie', 'Fulani Bahati', 'Chloe Bailey', 'Halle Bailey', 'Denee Baptiste', 'Ava Bernstine', 'Kendra Bracy', 'Bianca Brewton', 'Monique Brogan', 'Latasha Bryant', 'Sifare Burrell', 'Ingrid Burley', 'Gwendolyn Carr', 'Blue Ivy Carter', 'Jay-Z', 'Ksyn Cason']",https://www.imdb.com/title/tt5662106/
Dune: Part Two,2024,8.4,793000,"['Action', 'Adventure', 'Drama']",166,Denis Villeneuve,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson', 'Javier Bardem', 'Josh Brolin', 'Austin Butler', 'Florence Pugh', 'Dave Bautista', 'Christopher Walken', 'Léa Seydoux', 'Stellan Skarsgård', 'Charlotte Rampling', 'Souheila Yacoub', 'Roger Yuan', 'Babs Olusanmokun', 'Alison Halstead', 'Giusi Merli', 'Kait Tenison']",https://www.imdb.com/title/tt15239678/
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1500000,"['Adventure', 'Fantasy', 'Sci-Fi']",124,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams', 'Anthony Daniels', 'David Prowse', 'Peter Mayhew', 'Kenny Baker', 'Frank Oz', 'Alec Guinness', 'Jeremy Bulloch', 'John Hollis', 'Jack Purvis', 'Des Webb', 'Clive Revill', 'Kenneth Colley', 'Julian Glover', 'Michael Sheard']",https://www.imdb.com/title/tt0080684/
Spider-Man: Into the Spider-Verse,2018,8.4,817000,"['Animation', 'Action', 'Adventure']",117,Bob Persichetti,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Luna Lauren Velez', 'Zoë Kravitz', 'John Mulaney', 'Kimiko Glenn', 'Nicolas Cage', 'Kathryn Hahn', 'Liev Schreiber', 'Chris Pine', 'Natalie Morales', 'Edwin R. Habacon', 'Oscar Isaac', 'Greta Lee']",https://www.imdb.com/title/tt4633694/
Pulp Fiction,1994,8.8,2500000,"['Crime', 'Drama']",154,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Tim Roth', 'Amanda Plummer', 'Laura Lovelace', 'Phil LaMarr', 'Frank Whaley', 'Burr Steers', 'Bruce Willis', 'Ving Rhames', 'Paul Calderon', 'Bronagh Gallagher', 'Rosanna Arquette', 'Eric Stoltz', 'Jerome Patrick Hoban', 'Michael Gilden', 'Gary Shorelle']",https://www.imdb.com/title/tt0110912/
A Dog's Will,2000,8.6,22000,"['Comedy', 'Drama', 'Fantasy']",104,Guel Arraes,"['Matheus Nachtergaele', 'Selton Mello', 'Rogério Cardoso', 'Denise Fraga', 'Diogo Vilela', 'Luís Melo', 'Virginia Cavendish', 'Bruno Garcia', 'Enrique Diaz', 'Maurício Gonçalves', 'Aramis Trindade', 'Marco Nanini', 'Paulo Goulart', 'Lima Duarte', 'Fernanda Montenegro']",https://www.imdb.com/title/tt0271383/
Woman in the Dunes,1964,8.4,26000,"['Drama', 'Thriller']",147,Hiroshi Teshigahara,"['Eiji Okada', 'Kyôko Kishida', 'Kōji Mitsui', 'Hiroko Itô', 'Sen Yano', 'Ginzô Sekiguchi', 'Kiyohiko Ichihara', 'Hideo Kanze', 'Hiroyuki Nishimoto', 'Tamotsu Tamura', 'Robert Dunham']",https://www.imdb.com/title/tt0058625/
