Title,Year,Rating,Votes,Genres,Runtime_minutes,Director,Actors,URL
City Lights,1931,8.5,218000,"['Comedy', 'Drama', 'Romance']",87,Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers', 'Al Ernest Garcia', 'Hank Mann', 'Johnny Aber', 'Jack Alexander', 'T.S. Alexander', 'Victor Alexander', 'Albert Austin', 'Harry Ayers', 'Eddie Baker', 'Henry Bergman', 'Edward Biby', 'Betty Blair', 'Buster Brodie', 'Jeanne Carpenter']",https://www.imdb.com/title/tt0021749/
Good Will Hunting,1997,8.4,1200000,"['Drama', 'Romance']",126,Gus Van Sant,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård', 'John Mighton', 'Rachel Majorowski', 'Colleen McCauley', 'Casey Affleck', 'Cole Hauser', 'Matt Mercier', 'Ralph St. George', 'Rob Lynds', 'Dan Washington', 'Alison Folland', 'Derrick Bridgeman', 'Vik Sahay', 'Shannon Egleson', 'Rob Lyons']",https://www.imdb.com/title/tt0119217/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,555000,"['Comedy', 'War']",95,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn', 'Slim Pickens', 'Peter Bull', 'James Earl Jones', 'Tracy Reed', 'Jack Creley', 'Frank Berry', ""Robert O'Neil"", 'Glenn Beck', 'Roy Stephens', 'Shane Rimmer', 'Hal Galili', 'Paul Tamarin', 'Laurence Herder', 'Gordon Tanner']",https://www.imdb.com/title/tt0057012/
Tokyo Story,1953,8.1,79000,['Drama'],137,Yasujirō Ozu,"['Chishū Ryū', 'Chieko Higashiyama', 'Sō Yamamura', 'Setsuko Hara', 'Haruko Sugimura', 'Kuniko Miyake', 'Kyōko Kagawa', 'Eijirō Tōno', 'Nobuo Nakamura', 'Shirō Ōsaka', 'Hisao Toake', 'Teruko Nagaoka', 'Mutsuko Sakura', 'Toyo Takahashi', 'Tōru Abe', 'Sachiko Mitani', 'Zen Murase', 'Mitsuhiro Môri']",https://www.imdb.com/title/tt0046438/
Terminator 2: Judgment Day,1991,8.6,1300000,"['Action', 'Adventure', 'Sci-Fi']",137,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick', 'Earl Boen', 'Joe Morton', 'S. Epatha Merkerson', 'Castulo Guerra', 'Danny Cooksey', 'Jenette Goldstein', 'Xander Berkeley', 'Leslie Hamilton Gearren', 'Ken Gibbel', 'Robert Winley', 'Pete Schrum', 'Shane Wilder', 'Michael Edwards', 'Jared Lounsbery']",https://www.imdb.com/title/tt0103064/
Alien,1979,8.4,1100000,"['Horror', 'Sci-Fi']",117,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright', 'Harry Dean Stanton', 'Ian Holm', 'Yaphet Kotto', 'Bolaji Badejo', 'Helen Horton', 'Eddie Powell']",https://www.imdb.com/title/tt0078748/
The Lion King,1994,8.5,1300000,"['Animation', 'Adventure', 'Drama']",88,Roger Allers,"['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Rowan Atkinson', 'Niketa Calame-Harris', 'Jim Cummings', 'Whoopi Goldberg', 'Robert Guillaume', 'Moira Kelly', 'Nathan Lane', 'Zoe Leader', 'Cheech Marin', 'Ernie Sabella', 'Madge Sinclair', 'Jonathan Taylor Thomas', 'Frank Welker', 'Cathy Cavadini', 'Judi M. Durand']",https://www.imdb.com/title/tt0110357/
The World of Apu,1959,8.4,21000,['Drama'],105,Satyajit Ray,"['Soumitra Chatterjee', 'Sharmila Tagore', 'Alok Chakravarty', 'Swapan Mukherjee', 'Tushar Bandyopadhyay', 'Gupi Banerjee', 'Panchanan Bhattacharya', 'Shanti Bhattacherjee', 'Jiten Bhons', 'Abhijit Chatterjee', 'Jogesh Chatterjee', 'Asha Devi', 'Belarani Devi', 'Sefalika Devi', 'Biren Ghosh', 'Dhiren Ghosh', 'Biresh Majumdar', 'Dhiresh Majumdar']",https://www.imdb.com/title/tt0052572/
Aliens,1986,8.4,848000,"['Action', 'Adventure', 'Horror']",137,James Cameron,"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser', 'Lance Henriksen', 'Bill Paxton', 'William Hope', 'Jenette Goldstein', 'Al Matthews', 'Mark Rolston', 'Ricco Ross', 'Colette Hiller', 'Daniel Kash', 'Cynthia Dale Scott', 'Tip Tipping', 'Trevor Steedman', 'Paul Maxwell', 'Valerie Colgan']",https://www.imdb.com/title/tt0090605/
A Separation,2011,8.3,280000,['Drama'],123,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini', 'Sarina Farhadi', 'Babak Karimi', 'Ali-Asghar Shahbazi', 'Kimia Hosseini', 'Shirin Yazdanbakhsh', ""Merila Zare'i"", 'Mohammadhasan Asghari', 'Shirin Azimiyannezhad', 'Hamid Dadju', 'Mohammad Ebrahimian', 'Samad Farhang', 'Ali Fattahi', 'Nafise Ghodrati', 'Roya Hosseini']",https://www.imdb.com/title/tt1832382/
The Kid,1921,8.2,147000,"['Comedy', 'Drama', 'Family']",68,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller', 'Albert Austin', 'Beulah Bains', 'Nellie Bly Baker', 'Henry Bergman', 'Edward Biby', 'B.F. Blinn', 'Kitty Bradbury', 'Frank Campeau', 'Bliss Chevalier', 'Frances Cochran', 'Elsie Codd', 'Jack Coogan Sr.', 'Estelle Cook', 'Lillian Crane']",https://www.imdb.com/title/tt0012349/
Come and See,1985,8.3,127000,"['Drama', 'Thriller', 'War']",142,Elem Klimov,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas', 'Jüri Lumiste', 'Viktors Lorencs', 'Kazimir Rabetsky', 'Evgeniy Tilicheev', 'Aleksandr Berda', 'G. Velts', 'V. Vasilyev', 'Igor Gnevashev', 'Vasiliy Domrachyov', 'G. Yelkin', 'Evgeniy Kryzhanovskiy', 'N. Lisichenok', 'Viktor Manaev', 'Takhir Matyullin']",https://www.imdb.com/title/tt0091251/
WALL·E,2008,8.4,1300000,"['Animation', 'Adventure', 'Family']",98,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'Digital Performer (Various)', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver', 'Karleen Griffin', 'Kim Kopf', 'Niki McElroy', 'Garrett Palmer', 'Lori Richardson', 'Jessica Skelton', 'Kai Steel Smith', 'Michael Toy']",https://www.imdb.com/title/tt0910970/
The Handmaiden,2016,8.1,208000,"['Drama', 'Romance', 'Thriller']",145,Park Chan-wook,"['Kim Min-hee', 'Ha Jung-woo', 'Cho Jin-woong', 'Kim Tae-ri', 'Lee Yong-nyeo', 'Yoo Min-chae', 'Lee Dong-hwi', 'Kim Hae-sook', 'Lee Kyu-jung', 'Kim Si-eun', 'Ha Si-yeon', 'Rina Takagi', 'Won Geun-hee', 'Kim Jong-dae', 'Jang Han-sun', 'Kim Eun-yeong', 'Kim Ri-woo', 'Shinsuke Fujimoto']",https://www.imdb.com/title/tt4016934/
The Father,2020,8.2,250000,"['Drama', 'Mystery']",97,Florian Zeller,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams', 'Imogen Poots', 'Rufus Sewell', 'Ayesha Dharker', 'Roman Zeller', 'Adnan Kundi', 'Brian Rodger', 'Evie Wray']",https://www.imdb.com/title/tt10272386/
All About Eve,1950,8.2,151000,['Drama'],138,Joseph L. Mankiewicz,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill', 'Hugh Marlowe', 'Gregory Ratoff', 'Barbara Bates', 'Marilyn Monroe', 'Thelma Ritter', 'Walter Hampden', 'Randy Stuart', 'Craig Hill', 'Leland Harris', 'Barbara White', 'Eddie Fisher', 'William Pullen', 'Claude Stroud']",https://www.imdb.com/title/tt0042192/
Before Sunrise,1995,8.1,384000,"['Comedy', 'Drama', 'Romance']",101,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl', 'Karl Bruckschwaiger', 'Tex Rubinowitz', 'Erni Mangold', 'Dominik Castell', 'Haymon Maria Buttinger', 'Harald Waiglein', 'Bilge Jeschim', 'Kurti', 'Hans Weingartner', 'Liese Lyon', 'Peter Ily Huemer', 'Otto Reiter', 'Hubert Fabian Kulterer', 'Branko Andric']",https://www.imdb.com/title/tt0112471/
Late Spring,1949,8.2,22000,"['Comedy', 'Drama']",110,Yasujirō Ozu,"['Chishū Ryū', 'Setsuko Hara', 'Yumeji Tsukioka', 'Haruko Sugimura', 'Hôhi Aoki', 'Jun Usami', 'Kuniko Miyake', 'Masao Mishima', 'Yoshiko Tsubouchi', 'Yôko Katsuragi', 'Toyo Takahashi', 'Jun Tanizaki', 'Ichirô Shimizu', 'Yôko Benisawa', 'Manzaburo Umewaka', 'Nobu Nojima', 'Ichiro Kitamura', 'Haruo Yasufuku']",https://www.imdb.com/title/tt0041154/
A Man Escaped,1956,8.1,31000,"['Drama', 'Thriller', 'War']",101,Robert Bresson,"['François Leterrier', 'Charles Le Clainche', 'Maurice Beerblock', 'Roland Monod', 'Jacques Ertaud', 'Jean Paul Delhumeau', 'Roger Treherne', 'Jean Philippe Delamarre', 'Jacques Oerlemans', 'Klaus Detlef Grevenhorst', 'Leonhard Schmidt', 'Roger Planchon', 'André Collombet', 'César Gattegno', 'Max Schoendorff']",https://www.imdb.com/title/tt0049902/
Il sorpasso,1962,8.2,15000,"['Adventure', 'Comedy', 'Drama']",108,Dino Risi,"['Vittorio Gassman', 'Catherine Spaak', 'Jean-Louis Trintignant', 'Claudio Gora', 'Luciana Angiolillo', 'Linda Sini', 'Franca Polesello', 'Bruna Simionato', 'Lilly Darelli', 'Mila Stanic', 'Nando Angelini', 'Edda Ferronao', 'Paola Gassman', 'Aldo Gianni', 'Lina Lagalla', 'John Francis Lane', 'Howard Nelson Rubien', 'Jacques Stany']",https://www.imdb.com/title/tt0056512/
The First Slam Dunk,2022,8.0,13000,"['Animation', 'Comedy', 'Drama']",124,Takehiko Inoue,"['Shugo Nakamura', 'Jun Kasama', 'Shinichiro Kamio', 'Subaru Kimura', 'Kenta Miyake', 'Tôru Nara', 'Yoshiaki Hasegawa', 'Shunsuke Takeuchi', 'Satoshi Tsuruoka', 'Mitsuaki Kanuka', 'Gakuto Kajiwara', 'Miyuri Shimabukuro', 'Misaki Kuno', 'Mie Sonozaki', 'Ryota Iwasaki', 'Yohei Azakami', 'Tôru Sakurai', 'Daichi Endô']",https://www.imdb.com/title/tt15242330/
Toy Story,1995,8.3,1200000,"['Animation', 'Adventure', 'Comedy']",81,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney', 'Wallace Shawn', 'John Ratzenberger', 'Annie Potts', 'John Morris', 'Erik von Detten', 'Laurie Metcalf', 'R. Lee Ermey', 'Sarah Rayne', 'Penn Jillette', 'Jack Angel', 'Spencer Aste', 'Greg Berg', 'Lisa Bradley', 'Kendall Cunningham']",https://www.imdb.com/title/tt0114709/
The Great Dictator,1940,8.4,260000,"['Comedy', 'Drama', 'War']",125,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner', 'Henry Daniell', 'Billy Gilbert', 'Grace Hayle', 'Carter DeHaven', 'Maurice Moscovitch', 'Emma Dunn', 'Bernard Gorcey', 'Paul Weigel', 'Chester Conklin', 'Esther Michelson', 'Hank Mann', 'Florence Wright', 'Eddie Gribbon', 'Rudolph Anders']",https://www.imdb.com/title/tt0032553/
Memento,2000,8.4,1500000,"['Mystery', 'Thriller']",113,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior', 'Russ Fega', 'Jorja Fox', 'Stephen Tobolowsky', 'Harriet Sansom Harris', 'Thomas Lennon', 'Callum Keith Rennie', 'Kimberly Campbell', 'Marianne Muellerleile', 'Larry Holden', 'Doshia Darmane', 'Stephanie Searson', 'Buzz Visconti']",https://www.imdb.com/title/tt0209144/
Ran,1985,8.2,155000,"['Action', 'Drama', 'War']",160,Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû', 'Mieko Harada', 'Yoshiko Miyazaki', 'Hisashi Igawa', 'Pītā', 'Masayuki Yui', 'Kazuo Katô', 'Norio Matsui', 'Toshiya Ito', 'Kenji Kodama', 'Takashi Watanabe', 'Mansai Nomura', 'Takeshi Katō', 'Jun Tazaki', 'Hitoshi Ueki']",https://www.imdb.com/title/tt0089881/
Portrait of a Lady on Fire,2019,8.0,130000,"['Drama', 'Romance']",122,Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino', 'Christel Baras', 'Armande Boulanger', 'Guy Delamarche', 'Clément Bouyssou', 'Michèle Clément']",https://www.imdb.com/title/tt8613070/
Double Indemnity,1944,8.3,183000,"['Crime', 'Drama', 'Film-Noir']",107,Billy Wilder,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Porter Hall', 'Jean Heather', 'Tom Powers', 'Byron Barr', 'Richard Gaines', 'Fortunio Bonanova', 'John Philliber', 'Lev Abramov', 'James Adamson', 'John Berry', 'Raymond Chandler', 'Edmund Cobb', 'Kernan Cripps', 'Betty Farrington', 'Bess Flowers']",https://www.imdb.com/title/tt0036775/
Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,8.2,103000,"['Animation', 'Action', 'Adventure']",117,Haruo Sotozaki,"['Natsuki Hanae', 'Akari Kitô', 'Yoshitsugu Matsuoka', 'Hiro Shimono', 'Satoshi Hino', 'Takahiro Sakurai', 'Katsuyuki Konishi', 'Saori Hayami', ""Ken'ichi Suzumura"", 'Tomokazu Seki', 'Tomokazu Sugita', 'Toshiyuki Morikawa', 'Rina Satô', 'Shin-ichiro Miki', 'Houko Kuwashima', 'Kaede Hondo', 'You Taichi', 'Konomi Kohara']",https://www.imdb.com/title/tt11032374/
The Red Shoes,1948,8.1,44000,"['Drama', 'Music', 'Romance']",135,Michael Powell,"['Anton Walbrook', 'Marius Goring', 'Moira Shearer', 'Robert Helpmann', 'Albert Bassermann', 'Léonide Massine', 'Esmond Knight', 'Austin Trevor', 'Irene Browne', 'Hay Petrie', 'Eric Berry', 'Derek Elphinstone', 'Ludmilla Tchérina', 'Marie Rambert', 'Michel Bazalgette', 'Marcel Poncin', 'Yvonne Andre', 'Joy Rawlins']",https://www.imdb.com/title/tt0040725/
Stalker,1979,8.0,158000,"['Drama', 'Sci-Fi']",162,Andrei Tarkovsky,"['Alisa Freyndlikh', 'Aleksandr Kaydanovskiy', 'Anatoliy Solonitsyn', 'Nikolay Grinko', 'Natalya Abramova', 'Faime Jurno', 'Evgeniy Kostin', 'Raimo Rendi']",https://www.imdb.com/title/tt0079944/
A Special Day,1977,8.1,19000,['Drama'],103,Ettore Scola,"['Sophia Loren', 'Marcello Mastroianni', 'John Vernon', 'Françoise Berd', 'Patrizia Basso', 'Tiziano De Persio', 'Maurizio Di Paolantonio', 'Antonio Garibaldi', 'Vittorio Guerrieri', 'Alessandra Mussolini', 'Nicole Magny', 'Galeazzo Ciano', 'Adolf Hitler', 'King Victor Emmanuel III', 'Benito Mussolini']",https://www.imdb.com/title/tt0076085/
The Departed,2006,8.5,1600000,"['Crime', 'Drama', 'Thriller']",151,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg', 'Martin Sheen', 'Ray Winstone', 'Vera Farmiga', 'Anthony Anderson', 'Alec Baldwin', 'Kevin Corrigan', 'James Badge Dale', ""David O'Hara"", 'Mark Rolston', 'Robert Wahlberg', 'Kristen Dalton', 'Thomas B. Duffy', 'Richard Hughes', 'J.C. MacKenzie']",https://www.imdb.com/title/tt0407887/
The Apartment,1960,8.3,223000,"['Comedy', 'Drama', 'Romance']",125,Billy Wilder,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen', 'David Lewis', 'Hope Holiday', 'Joan Shawlee', 'Naomi Stevens', 'Johnny Seven', 'Joyce Jameson', 'Willard Waterman', 'David White', 'Edie Adams', 'Dorothy Abbott', 'Bill Baldwin', 'Paul Bradley', 'Benny Burt']",https://www.imdb.com/title/tt0053604/
Klaus,2019,8.2,243000,"['Animation', 'Adventure', 'Comedy']",96,Carlos Martínez López,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso', 'Neda Margrethe Labba', 'Sergio Pablos', 'Norm MacDonald', 'Joan Cusack', 'Evan Agos', 'Sky Alexis', 'Jaeden Bettencourt', 'Teddy Blum', 'Mila Brener', 'Sydney Brower', 'Finn Carr', 'Kendall Joy Hall', 'Hailey Hermida', 'Lexie Holland']",https://www.imdb.com/title/tt4729430/
La haine,1995,8.1,232000,"['Crime', 'Drama']",98,Mathieu Kassovitz,"['Vincent Cassel', 'Hubert Koundé', 'Saïd Taghmaoui', 'Abdel Ahmed Ghili', 'Solo', 'Joseph Momo', 'Héloïse Rauth', 'Rywka Wajsbrot', 'Olga Abrego', 'Laurent Labasse', 'Choukri Gabteni', 'Nabil Ben Mhamed', 'Benoît Magimel', 'Médard Niang', 'Arash Mansour', 'Abdel-Moulah Boujdouni', 'Mathilde Vitry', 'Christian Moro']",https://www.imdb.com/title/tt0113247/
Metropolis,1927,8.2,203000,"['Drama', 'Sci-Fi']",150,Fritz Lang,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge', 'Fritz Rasp', 'Theodor Loos', 'Erwin Biswanger', 'Heinrich George', 'Fritz Alberti', 'Grete Berger', 'Olly Boeheim', 'Max Dietze', 'Ellen Frey', 'Beatrice Garga', 'Heinrich Gotho', 'Dolly Grey', 'Anny Hintze', 'Gottfried Huppertz']",https://www.imdb.com/title/tt0017136/
Pather Panchali,1955,8.2,42000,"['Drama', 'History']",125,Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi', 'Uma Das Gupta', 'Runki Banerjee', 'Reba Devi', 'Aparna Devi', 'Tulsi Chakraborty', 'Haren Banerjee', 'Rampada Das', 'Nibhanani Devi', 'Rama Gangopadhaya', 'Roma Ganguli', 'Binoy Mukherjee', 'Haridhan Nag', 'Harimohan Nag', 'Kshirod Roy']",https://www.imdb.com/title/tt0048473/
Up,2009,8.3,1300000,"['Animation', 'Adventure', 'Comedy']",96,Pete Docter,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer', 'Bob Peterson', 'Delroy Lindo', 'Jerome Ranft', 'David Kaye', 'Elie Docter', 'Jeremy Leary', 'Mickie McGowan', 'Danny Mann', 'Donald Fullilove', 'Jess Harnell', 'Josh Cooley', 'Pete Docter', 'Mark Andrews', 'Bob Bergen']",https://www.imdb.com/title/tt1049413/
Citizen Kane,1941,8.2,497000,"['Drama', 'Mystery']",119,Orson Welles,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead', 'Ruth Warrick', 'Ray Collins', 'Erskine Sanford', 'Everett Sloane', 'William Alland', 'Paul Stewart', 'George Coulouris', 'Fortunio Bonanova', 'Gus Schilling', 'Philip Van Zandt', 'Georgia Backus', 'Harry Shannon', 'Sonny Bupp', 'Buddy Swan']",https://www.imdb.com/title/tt0033467/
The Tale of The Princess Kaguya,2013,8.0,63000,"['Animation', 'Drama', 'Family']",137,Isao Takahata,"['Aki Asakura', 'Kengo Kôra', 'Takeo Chii', 'Nobuko Miyamoto', 'Atsuko Takahata', 'Tomoko Tabata', 'Shinosuke Tatekawa', 'Takaya Kamikawa', 'Hikaru Ijûin', 'Ryūdō Uzaki', 'Shichinosuke Nakamura', 'Isao Hashizume', 'Mirai Uchida', 'Fubomichi Takazawa', 'Reigo Mizoguchi', 'Kawashiro Hidenosuke', 'Minoru Matsumoto', 'Akio Nakadai']",https://www.imdb.com/title/tt2576852/
The Mirror,1975,7.9,58000,"['Biography', 'Drama']",107,Andrei Tarkovsky,"['Margarita Terekhova', 'Filipp Yankovskiy', 'Ignat Daniltsev', 'Oleg Yankovskiy', 'Nikolay Grinko', 'Alla Demidova', 'Yuriy Nazarov', 'Anatoliy Solonitsyn', 'Larisa Tarkovskaya', 'Tamara Ogorodnikova', 'Yuri Sventisov', 'Tamara Reshetnikova', 'Innokentiy Smoktunovskiy', 'Arseniy Tarkovskiy', 'E. Del Bosque', 'Ángel Gutiérrez', 'Tatiana Del Bosque', 'Teresa Del Bosque']",https://www.imdb.com/title/tt0072443/
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,8.0,19000,"['Animation', 'Action', 'Drama']",155,Hideaki Anno,"['Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura', 'Akira Ishida', 'Fumihiko Tachiki', 'Kotono Mitsuishi', 'Maaya Sakamoto', 'Motomu Kiyokawa', 'Yuriko Yamaguchi', 'Anri Katsu', 'Hiro Yuki', 'Mugihito', 'Koichi Yamadera', 'Koki Uchiyama', 'Mariya Ise', 'Miki Nagasawa', 'Miyuki Sawashiro', 'Ryûnosuke Kamiki']",https://www.imdb.com/title/tt2458948/
Nights of Cabiria,1957,8.1,58000,['Drama'],110,Federico Fellini,"['Giulietta Masina', 'François Périer', 'Franca Marzi', 'Dorian Gray', 'Aldo Silvani', 'Ennio Girolami', 'Mario Passante', 'Christian Tassou', 'Amedeo Nazzari', 'Gianni Baghino', 'Franco Balducci', 'Ciccio Barbi', 'Luciano Bonanni', 'Jusy Boncinelli', 'Loretta Capitoli', 'Amerigo Castrighella', 'Leo Catozzo', 'Dominique Delouche']",https://www.imdb.com/title/tt0050783/
Where Is the Friend's House?,1987,8.1,24000,"['Adventure', 'Drama', 'Family']",83,Abbas Kiarostami,"['Babek Ahmedpoor', 'Ahmed Ahmedpoor', 'Khodabakhsh Defaei', 'Iran Outari', 'Ait Ansari', 'Sadika Taohidi', 'Biman Mouafi', 'Ali Djamali', 'Aziz Babai', 'Nader Ghoulami', 'Akbar Mouradi', 'Teba Slimani', 'Mohammad Reza Parvaneh', 'Farahanka Brothers', 'Maria Chdjari', 'Hamdallah Askar Poor', 'Kadiret Kaoiyen Poor', 'Hager Faraz Poor']",https://www.imdb.com/title/tt0093342/
The Treasure of the Sierra Madre,1948,8.2,143000,"['Adventure', 'Drama', 'Western']",126,John Huston,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett', 'Barton MacLane', 'Alfonso Bedoya', 'Arturo Soto Rangel', 'Manuel Dondé', 'José Torvay', 'Margarito Luna', 'Robert Blake', 'Guillermo Calles', 'Roberto Cañedo', 'Spencer Chan', 'Jacqueline Dalya', 'Ralph Dunn', 'Ernesto Escoto', 'Pat Flaherty']",https://www.imdb.com/title/tt0040897/
The Shop on Main Street,1965,8.2,11000,"['Drama', 'War']",128,Ján Kadár,"['Ida Kaminska', 'Jozef Kroner', 'František Zvarík', 'Hana Slivková', 'Martin Hollý', 'Elena Zvaríková', 'Martin Gregor', 'Adam Matejka', 'Mikulás Ladizinský', 'Alojz Kramar', 'Eugen Senaj', 'Tibor Vadaš', 'Anton Balaz', 'Ladislav Farkas', 'Ladislav Fecko', 'Luise Grossová', 'Juraj Herz', 'Stanislav Kubis']",https://www.imdb.com/title/tt0059527/
Fight Club,1999,8.8,2700000,"['Crime', 'Drama', 'Thriller']",139,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier', 'Richmond Arquette', 'David Andrews', 'George Maguire', 'Eugenie Bondurant', 'Christina Cabot', 'Helena Bonham Carter', ""Sydney 'Big Dawg' Colston"", 'Rachel Singer', 'Christie Cronenweth', 'Tim DeZarn', 'Ezra Buzzington', 'Dierdre Downing-Jackson', 'Bob Stephenson', 'Charlie Dell']",https://www.imdb.com/title/tt0137523/
Neon Genesis Evangelion: The End of Evangelion,1997,8.1,79000,"['Animation', 'Action', 'Drama']",87,Hideaki Anno,"['Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura', 'Kotono Mitsuishi', 'Yuriko Yamaguchi', 'Fumihiko Tachiki', 'Akira Ishida', 'Motomu Kiyokawa', 'Mugihito', 'Takehito Koyasu', 'Hiro Yuki', 'Miki Nagasawa', 'Koichi Yamadera', 'Maria Kawamura', 'Akiko Yajima', 'Ikuya Sawaki', 'Jin Yamanoi', ""Jun'ichi Sugawara""]",https://www.imdb.com/title/tt0169858/
Top Gun: Maverick,2022,8.2,906000,"['Action', 'Drama']",130,Joseph Kosinski,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer', 'Bashir Salahuddin', 'Jon Hamm', 'Charles Parnell', 'Monica Barbaro', 'Lewis Pullman', 'Jay Ellis', 'Danny Ramirez', 'Glen Powell', 'Jack Schumacher', 'Manny Jacinto', 'Kara Wang', 'Greg Tarzan Davis', 'Jake Picking', 'Raymond Lee']",https://www.imdb.com/title/tt1745960/
The Cranes Are Flying,1957,8.3,23000,"['Drama', 'Romance', 'War']",95,Mikheil Kalatozishvili,"['Tatyana Samoylova', 'Aleksey Batalov', 'Vasiliy Merkurev', 'Aleksandr Shvorin', 'Svetlana Kharitonova', 'Konstantin Kadochnikov', 'Valentin Zubkov', 'Antonina Bogdanova', 'Boris Kokovkin', 'Ekaterina Kupriyanova', 'Valentina Ananina', 'Valentina Vladimirova', 'Olga Dzisko', 'Leonid Knyazev', 'Georgiy Kulikov', 'Daniil Netrebin', 'Aleksandr Popov', 'Irina Preys']",https://www.imdb.com/title/tt0050634/
Yi Yi,2000,8.1,35000,['Drama'],173,Edward Yang,"['Nien-Jen Wu', 'Elaine Jin', 'Issey Ogata', 'Kelly Lee', 'Jonathan Chang', 'Hsi-Sheng Chen', 'Su-Yun Ko', 'Chuan-cheng Tao', 'Shu-shen Hsiao', ""Meng-chin 'Adriene' Lin"", 'Pang Chang Yu', 'Ru-Yun Tang', 'Shu-Yuan Hsu', 'Hsin-Yi Tseng', 'Yung-Feng Lee', 'Shi-hui Chin', 'Jie Wu', 'Kuo-Chih Shu']",https://www.imdb.com/title/tt0244316/
North by Northwest,1959,8.2,372000,"['Adventure', 'Drama', 'Mystery']",136,Alfred Hitchcock,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis', 'Leo G. Carroll', 'Josephine Hutchinson', 'Philip Ober', 'Martin Landau', 'Adam Williams', 'Edward Platt', 'Robert Ellenstein', 'Les Tremayne', 'Philip Coolidge', 'Patrick McVey', 'Edward Binns', 'Ken Lynch', 'Stanley Adams', 'David Ahdar']",https://www.imdb.com/title/tt0053125/
Rashomon,1950,8.1,199000,"['Crime', 'Drama', 'Mystery']",88,Akira Kurosawa,"['Toshirō Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura', 'Minoru Chiaki', 'Kichijirō Ueda', 'Noriko Honma', 'Daisuke Katō']",https://www.imdb.com/title/tt0042876/
Children of Paradise,1945,8.3,23000,"['Drama', 'Romance']",189,Marcel Carné,"['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'Pierre Renoir', 'María Casares', 'Gaston Modot', 'Fabien Loris', 'Marcel Pérès', 'Palau', 'Etienne Decroux', 'Jane Marken', 'Marcelle Monthil', 'Louis Florencie', 'Habib Benglia', 'Raymond Rognoni', 'Jacques Castelot', 'Paul Frankeur', 'Albert Rémy']",https://www.imdb.com/title/tt0037674/
