movie_id,director_id,Title,Year,Rating,Votes,Runtime_minutes
126,61,The Battle of Algiers,1966,8.1,77000,121
127,35,How to Train Your Dragon,2010,8.1,909000,98
128,9,Finding Nemo,2003,8.2,1200000,100
129,94,Tampopo,1985,7.9,27000,114
130,5,Sanjuro,1962,8.0,44000,96
131,20,Ordet,1955,8.2,19000,126
132,18,The Usual Suspects,1995,8.5,1300000,106
133,119,There Will Be Blood,2007,8.2,719000,158
134,158,Devils on the Doorstep,2000,8.2,9500,139
135,113,Eternal Sunshine of the Spotless Mind,2004,8.3,1200000,108
136,32,Lawrence of Arabia,1962,8.3,346000,227
137,16,Memories of Murder,2003,8.1,275000,131
138,34,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1100000,130
139,27,Unforgiven,1992,8.2,473000,130
140,150,Monty Python and the Holy Grail,1975,8.1,608000,91
141,49,8½,1963,8.0,134000,138
142,165,Raise the Red Lantern,1991,8.1,38000,125
143,68,Still Walking,2008,7.9,21000,115
144,81,Le Samouraï,1967,8.0,67000,101
145,8,Ivan's Childhood,1962,8.0,44000,95
146,44,Time of the Gypsies,1988,8.1,35000,142
147,54,The Green Mile,1999,8.6,1600000,189
148,71,Scenes from a Marriage,1974,8.3,11000,169
149,123,Reservoir Dogs,1992,8.2,1200000,99
150,141,Full Metal Jacket,1987,8.2,860000,116
151,71,Persona,1966,8.0,142000,83
152,162,In the Mood for Love,2000,8.0,192000,98
153,7,Vertigo,1958,8.2,463000,128
154,19,Sherlock Jr.,1924,8.1,67000,45
155,149,The Disappearance of Haruhi Suzumiya,2010,8.0,9100,162
156,71,Wild Strawberries,1957,8.1,126000,92
157,156,Heart of a Dog,1988,8.5,11000,136
158,8,Andrei Rublev,1966,8.0,61000,205
159,145,Rascal Does Not Dream of a Dreaming Girl,2019,8.3,11000,89
160,45,To Be or Not to Be,1942,8.1,50000,99
161,42,On the Waterfront,1954,8.1,181000,108
162,166,The Twilight Samurai,2002,8.0,27000,129
163,124,Fear Eats the Soul,1974,8.0,26000,93
164,117,Anatomy of a Murder,1959,8.0,79000,161
165,71,Fanny and Alexander,1982,8.1,72000,322
166,97,The Life of Oharu,1952,8.0,8500,133
167,20,Day of Wrath,1943,8.0,12000,97
168,101,Make Way for Tomorrow,1937,8.1,11000,91
169,154,American History X,1998,8.5,1300000,119
170,115,Amadeus,1984,8.4,473000,160
171,135,For a Few Dollars More,1965,8.2,304000,132
172,140,Judgment at Nuremberg,1961,8.3,99000,179
173,71,The Seventh Seal,1957,8.1,218000,96
174,142,12 Years a Slave,2013,8.1,795000,134
175,143,Catch Me If You Can,2002,8.1,1300000,141
176,120,"Monsters, Inc.",2001,8.1,1100000,92
177,11,The Second Mother,2015,7.8,20000,112
178,23,The Circus,1928,8.1,39000,72
179,144,Jujutsu Kaisen 0,2021,7.8,67000,112
180,68,Shoplifters,2018,7.9,97000,121
181,5,The Bad Sleep Well,1960,7.9,16000,151
182,75,The Terminator,1984,8.1,1000000,107
183,78,Justice League: The Flashpoint Paradox,2013,8.1,67000,75
184,159,The Heiress,1949,8.1,19000,115
185,107,The Holy Innocents,1984,8.1,5400,107
186,80,Amélie,2001,8.2,847000,122
187,102,The Young and the Damned,1950,8.2,24000,80
188,143,Jurassic Park,1993,8.2,1200000,127
189,46,No Country for Old Men,2007,8.2,1200000,122
190,1,Like Stars on Earth,2007,8.3,236000,162
191,129,To Kill a Mockingbird,1962,8.2,353000,129
192,125,Before Sunset,2004,8.1,320000,80
193,88,Die Hard,1988,8.2,1000000,132
194,78,"Batman: The Dark Knight Returns, Part 2",2013,8.3,62000,76
195,49,La Dolce Vita,1960,8.0,87000,174
196,63,Pan's Labyrinth,2006,8.2,753000,118
197,137,Dog Day Afternoon,1975,8.0,295000,125
198,6,Waiting for the Hearse,1985,8.0,8600,94
199,17,Ratatouille,2007,8.1,966000,111
200,32,The Bridge on the River Kwai,1957,8.1,251000,161
201,151,An Adventure in Space and Time,2013,8.2,7900,86
202,79,Grand Illusion,1937,8.0,41000,113
203,153,Spotlight,2015,8.1,541000,129
204,37,Short Term 12,2013,7.9,96000,96
205,25,How the Grinch Stole Christmas!,1966,8.3,67000,26
206,10,Bangalore Days,2014,8.3,29000,171
207,118,Oldboy,2003,8.3,733000,120
208,12,Avengers: Infinity War,2018,8.4,1400000,149
209,165,To Live,1994,8.3,23000,133
210,95,Farewell My Concubine,1993,8.1,38000,171
211,68,Nobody Knows,2004,8.0,36000,141
212,33,The Elephant Man,1980,8.2,284000,124
213,84,Fargo,1996,8.1,797000,98
214,82,In the Name of the Father,1993,8.1,205000,133
215,29,Z,1969,8.1,34000,127
216,105,Ghost in the Shell,1995,7.9,177000,83
217,120,Soul,2020,8.0,458000,100
218,40,Office Romance,1977,8.2,12000,159
219,160,Perfect Days,2023,7.9,112000,124
220,57,Safety Last!,1923,8.1,25000,74
221,159,The Best Years of Our Lives,1946,8.1,77000,170
222,53,Mr. Smith Goes to Washington,1939,8.1,130000,129
223,48,Sunrise,1927,8.1,57000,94
224,26,My Life as a Zucchini,2016,7.8,33000,70
225,71,Through a Glass Darkly,1961,7.9,30000,90
226,155,Shoeshine,1946,8.0,9100,91
227,138,Andhadhun,2018,8.2,118000,139
228,163,Mommy,2014,8.0,66000,139
229,96,Akira,1988,8.0,232000,124
230,28,The General,1926,8.1,106000,78
231,127,Stand by Me,1986,8.1,495000,89
232,76,Ford v Ferrari,2019,8.1,587000,152
233,136,I Want to Eat Your Pancreas,2018,8.1,38000,109
234,45,The Shop Around the Corner,1940,8.0,45000,99
235,133,Chinatown,1974,8.1,380000,130
236,43,Investigation of a Citizen Above Suspicion,1970,8.0,16000,115
237,3,Dilwale Dulhania Le Jayenge,1995,8.0,87000,181
238,97,Ugetsu,1953,8.1,29000,96
239,131,Life Is Beautiful,1997,8.6,823000,116
240,31,Seven,1995,8.6,2100000,127
241,66,Howl's Moving Castle,2004,8.2,522000,119
242,123,Django Unchained,2012,8.5,1900000,165
243,123,Inglourious Basterds,2009,8.4,1800000,153
244,68,Monster,2023,7.8,43000,127
245,155,Umberto D.,1952,8.1,31000,89
246,167,Werckmeister Harmonies,2000,7.9,18000,145
247,56,Day for Night,1973,8.0,27000,116
248,55,Marketa Lazarová,1967,7.8,6800,162
249,77,"Quo Vadis, Aida?",2020,8.0,42000,101
250,85,The Grapes of Wrath,1940,8.1,108000,129
