movie_id,genre_id
1,6
1,7
2,6
2,7
3,4
3,7
3,11
4,7
5,6
5,7
6,6
6,18
7,7
7,15
8,2
8,7
8,9
9,7
9,18
10,1
10,7
11,2
11,7
11,20
12,7
12,11
12,19
13,3
13,2
13,8
14,3
14,7
14,19
15,3
15,1
15,2
16,4
16,6
16,7
17,3
17,7
17,9
18,13
18,14
19,1
19,2
19,7
20,2
20,9
20,17
21,3
21,1
21,2
22,6
22,7
23,5
23,7
23,9
24,7
24,18
25,7
26,6
26,7
26,12
27,6
27,7
27,15
28,7
28,12
28,15
29,7
29,15
29,18
30,3
30,7
30,9
31,6
31,7
31,15
32,6
32,7
33,7
34,7
34,8
34,9
35,7
35,10
36,5
36,7
36,16
37,7
37,16
37,19
38,6
38,7
38,16
39,5
39,14
39,16
40,2
40,5
40,17
41,7
41,19
42,7
42,19
43,7
43,20
44,7
44,15
44,19
45,4
45,7
45,11
46,7
47,3
47,2
47,9
48,1
48,2
48,9
49,6
49,7
49,18
50,3
50,2
50,7
51,7
51,19
52,7
53,5
53,7
53,16
54,7
54,16
55,5
55,19
56,7
57,1
57,2
57,17
58,12
58,17
59,3
59,2
59,7
60,7
61,1
61,2
61,12
62,7
63,5
63,7
63,8
64,7
64,18
64,19
65,3
65,2
65,8
66,7
66,16
66,18
67,7
67,15
68,7
69,5
69,7
69,16
70,5
70,7
71,7
71,18
71,19
72,2
72,5
72,7
73,3
73,5
73,7
74,3
74,2
74,5
75,5
75,7
75,19
76,15
76,18
77,1
77,7
77,19
78,7
78,16
79,6
79,7
79,10
80,3
80,1
80,2
81,7
81,13
81,16
82,7
82,17
83,7
84,6
84,7
84,18
85,5
85,7
85,16
86,3
86,2
86,5
87,6
87,7
88,7
88,17
89,7
89,11
90,3
90,2
90,5
91,7
91,15
92,3
92,7
92,8
93,4
93,7
94,3
94,1
94,7
95,7
96,2
96,7
96,8
97,2
97,7
97,20
98,7
98,19
99,6
99,7
99,18
100,3
100,1
100,7
101,1
101,7
102,7
102,16
102,19
103,7
104,2
104,7
104,15
105,6
105,7
105,15
106,7
106,16
107,1
107,2
107,7
108,6
108,7
109,5
109,7
109,16
110,7
110,19
111,1
111,17
112,7
112,15
112,18
113,2
114,7
115,5
115,7
116,3
116,7
116,8
117,5
117,7
118,4
118,7
118,11
119,7
119,15
119,19
120,4
120,7
120,11
121,5
121,6
121,7
122,7
123,7
124,1
124,7
124,11
125,7
125,10
125,15
126,7
126,19
127,3
127,1
127,2
128,3
128,2
128,5
129,5
130,1
130,7
130,18
131,7
132,6
132,7
132,15
133,7
134,5
134,7
134,19
135,7
135,16
135,17
136,2
136,4
136,7
137,6
137,7
137,15
138,2
138,8
138,9
139,7
139,20
140,2
140,5
140,9
141,7
142,7
142,16
143,7
144,6
144,7
144,18
145,7
145,19
146,5
146,6
146,7
147,6
147,7
147,9
148,7
149,6
149,18
150,7
150,19
151,7
151,18
152,7
152,16
153,15
153,16
153,18
154,1
154,5
154,16
155,3
155,7
155,15
156,7
156,16
157,5
157,7
157,17
158,4
158,7
158,11
159,3
159,7
159,9
160,5
160,16
160,19
161,6
161,7
161,18
162,7
162,16
163,7
163,16
164,7
164,15
165,7
166,7
167,7
167,11
168,7
168,16
169,6
169,7
170,4
170,7
170,13
171,7
171,20
172,7
172,11
172,19
173,7
173,9
174,4
174,7
174,11
175,4
175,6
175,7
176,3
176,2
176,5
177,5
177,7
178,5
178,8
178,16
179,3
179,1
179,9
180,6
180,7
180,18
181,6
181,7
181,18
182,1
182,2
182,17
183,3
183,1
183,2
184,7
184,16
185,7
186,5
186,16
187,6
187,7
188,2
188,17
189,6
189,7
189,18
190,7
190,8
191,6
191,7
192,7
192,16
193,1
193,18
194,3
194,1
194,6
195,5
195,7
196,7
196,9
196,19
197,4
197,6
197,7
198,5
199,3
199,2
199,5
200,2
200,7
200,19
201,4
201,7
201,11
202,7
202,19
203,4
203,6
203,7
204,7
205,3
205,5
205,8
206,5
206,7
206,14
207,1
207,7
207,15
208,1
208,2
208,17
209,7
209,19
210,7
210,13
210,16
211,7
212,4
212,7
213,6
213,7
213,18
214,4
214,6
214,7
215,6
215,7
215,18
216,3
216,1
216,6
217,3
217,2
217,5
218,5
218,7
218,16
219,7
220,1
220,5
220,16
221,7
221,16
221,19
222,5
222,7
223,7
223,16
224,3
224,5
224,7
225,7
226,7
227,5
227,6
227,15
228,7
229,3
229,1
229,7
230,1
230,2
230,5
231,2
231,7
232,1
232,4
232,7
233,3
233,7
233,16
234,5
234,7
234,16
235,7
235,15
235,18
236,6
236,7
237,7
237,16
238,7
238,9
238,19
239,5
239,7
239,16
240,6
240,7
240,15
241,3
241,2
241,8
242,7
242,20
243,7
243,19
244,7
244,15
244,18
245,7
246,7
246,15
247,5
247,7
247,16
248,7
248,11
248,16
249,7
249,11
249,19
250,7
